,question,answer
0,在2021-01-01 00:00:00，设备1发生了什么故障？,设备1在2021-01-01 00:00:00发生了网络中断故障。
1,在2021-01-01 01:00:00，设备7发生了什么故障？,设备7在2021-01-01 01:00:00发生了硬件故障故障。
2,在2021-01-01 02:00:00，设备16发生了什么故障？,设备16在2021-01-01 02:00:00发生了信号质量下降故障。
3,在2021-01-01 03:00:00，设备9发生了什么故障？,设备9在2021-01-01 03:00:00发生了信号质量下降故障。
4,在2021-01-01 04:00:00，设备4发生了什么故障？,设备4在2021-01-01 04:00:00发生了网络中断故障。
5,在2021-01-01 05:00:00，设备18发生了什么故障？,设备18在2021-01-01 05:00:00发生了信号质量下降故障。
6,在2021-01-01 06:00:00，设备1发生了什么故障？,设备1在2021-01-01 06:00:00发生了连接丢失故障。
7,在2021-01-01 07:00:00，设备7发生了什么故障？,设备7在2021-01-01 07:00:00发生了信号质量下降故障。
8,在2021-01-01 08:00:00，设备15发生了什么故障？,设备15在2021-01-01 08:00:00发生了硬件故障故障。
9,在2021-01-01 09:00:00，设备16发生了什么故障？,设备16在2021-01-01 09:00:00发生了信号质量下降故障。
10,在2021-01-01 10:00:00，设备14发生了什么故障？,设备14在2021-01-01 10:00:00发生了信号质量下降故障。
11,在2021-01-01 11:00:00，设备12发生了什么故障？,设备12在2021-01-01 11:00:00发生了网络中断故障。
12,在2021-01-01 12:00:00，设备18发生了什么故障？,设备18在2021-01-01 12:00:00发生了硬件故障故障。
13,在2021-01-01 13:00:00，设备10发生了什么故障？,设备10在2021-01-01 13:00:00发生了硬件故障故障。
14,在2021-01-01 14:00:00，设备8发生了什么故障？,设备8在2021-01-01 14:00:00发生了连接丢失故障。
15,在2021-01-01 15:00:00，设备11发生了什么故障？,设备11在2021-01-01 15:00:00发生了信号质量下降故障。
16,在2021-01-01 16:00:00，设备10发生了什么故障？,设备10在2021-01-01 16:00:00发生了网络中断故障。
17,在2021-01-01 17:00:00，设备4发生了什么故障？,设备4在2021-01-01 17:00:00发生了硬件故障故障。
18,在2021-01-01 18:00:00，设备11发生了什么故障？,设备11在2021-01-01 18:00:00发生了网络中断故障。
19,在2021-01-01 19:00:00，设备16发生了什么故障？,设备16在2021-01-01 19:00:00发生了网络中断故障。
20,在2021-01-01 20:00:00，设备9发生了什么故障？,设备9在2021-01-01 20:00:00发生了硬件故障故障。
21,在2021-01-01 21:00:00，设备16发生了什么故障？,设备16在2021-01-01 21:00:00发生了网络中断故障。
22,在2021-01-01 22:00:00，设备9发生了什么故障？,设备9在2021-01-01 22:00:00发生了硬件故障故障。
23,在2021-01-01 23:00:00，设备19发生了什么故障？,设备19在2021-01-01 23:00:00发生了硬件故障故障。
24,在2021-01-02 00:00:00，设备7发生了什么故障？,设备7在2021-01-02 00:00:00发生了网络中断故障。
25,在2021-01-02 01:00:00，设备6发生了什么故障？,设备6在2021-01-02 01:00:00发生了连接丢失故障。
26,在2021-01-02 02:00:00，设备8发生了什么故障？,设备8在2021-01-02 02:00:00发生了硬件故障故障。
27,在2021-01-02 03:00:00，设备7发生了什么故障？,设备7在2021-01-02 03:00:00发生了信号质量下降故障。
28,在2021-01-02 04:00:00，设备17发生了什么故障？,设备17在2021-01-02 04:00:00发生了硬件故障故障。
29,在2021-01-02 05:00:00，设备2发生了什么故障？,设备2在2021-01-02 05:00:00发生了信号质量下降故障。
30,在2021-01-02 06:00:00，设备4发生了什么故障？,设备4在2021-01-02 06:00:00发生了网络中断故障。
31,在2021-01-02 07:00:00，设备10发生了什么故障？,设备10在2021-01-02 07:00:00发生了网络中断故障。
32,在2021-01-02 08:00:00，设备16发生了什么故障？,设备16在2021-01-02 08:00:00发生了硬件故障故障。
33,在2021-01-02 09:00:00，设备19发生了什么故障？,设备19在2021-01-02 09:00:00发生了网络中断故障。
34,在2021-01-02 10:00:00，设备3发生了什么故障？,设备3在2021-01-02 10:00:00发生了信号质量下降故障。
35,在2021-01-02 11:00:00，设备5发生了什么故障？,设备5在2021-01-02 11:00:00发生了信号质量下降故障。
36,在2021-01-02 12:00:00，设备17发生了什么故障？,设备17在2021-01-02 12:00:00发生了连接丢失故障。
37,在2021-01-02 13:00:00，设备12发生了什么故障？,设备12在2021-01-02 13:00:00发生了硬件故障故障。
38,在2021-01-02 14:00:00，设备11发生了什么故障？,设备11在2021-01-02 14:00:00发生了连接丢失故障。
39,在2021-01-02 15:00:00，设备7发生了什么故障？,设备7在2021-01-02 15:00:00发生了连接丢失故障。
40,在2021-01-02 16:00:00，设备6发生了什么故障？,设备6在2021-01-02 16:00:00发生了网络中断故障。
41,在2021-01-02 17:00:00，设备2发生了什么故障？,设备2在2021-01-02 17:00:00发生了硬件故障故障。
42,在2021-01-02 18:00:00，设备17发生了什么故障？,设备17在2021-01-02 18:00:00发生了硬件故障故障。
43,在2021-01-02 19:00:00，设备19发生了什么故障？,设备19在2021-01-02 19:00:00发生了连接丢失故障。
44,在2021-01-02 20:00:00，设备1发生了什么故障？,设备1在2021-01-02 20:00:00发生了硬件故障故障。
45,在2021-01-02 21:00:00，设备6发生了什么故障？,设备6在2021-01-02 21:00:00发生了硬件故障故障。
46,在2021-01-02 22:00:00，设备16发生了什么故障？,设备16在2021-01-02 22:00:00发生了网络中断故障。
47,在2021-01-02 23:00:00，设备14发生了什么故障？,设备14在2021-01-02 23:00:00发生了信号质量下降故障。
48,在2021-01-03 00:00:00，设备6发生了什么故障？,设备6在2021-01-03 00:00:00发生了网络中断故障。
49,在2021-01-03 01:00:00，设备14发生了什么故障？,设备14在2021-01-03 01:00:00发生了连接丢失故障。
50,在2021-01-03 02:00:00，设备19发生了什么故障？,设备19在2021-01-03 02:00:00发生了硬件故障故障。
51,在2021-01-03 03:00:00，设备10发生了什么故障？,设备10在2021-01-03 03:00:00发生了连接丢失故障。
52,在2021-01-03 04:00:00，设备3发生了什么故障？,设备3在2021-01-03 04:00:00发生了信号质量下降故障。
53,在2021-01-03 05:00:00，设备12发生了什么故障？,设备12在2021-01-03 05:00:00发生了硬件故障故障。
54,在2021-01-03 06:00:00，设备1发生了什么故障？,设备1在2021-01-03 06:00:00发生了硬件故障故障。
55,在2021-01-03 07:00:00，设备7发生了什么故障？,设备7在2021-01-03 07:00:00发生了信号质量下降故障。
56,在2021-01-03 08:00:00，设备17发生了什么故障？,设备17在2021-01-03 08:00:00发生了网络中断故障。
57,在2021-01-03 09:00:00，设备3发生了什么故障？,设备3在2021-01-03 09:00:00发生了信号质量下降故障。
58,在2021-01-03 10:00:00，设备4发生了什么故障？,设备4在2021-01-03 10:00:00发生了硬件故障故障。
59,在2021-01-03 11:00:00，设备6发生了什么故障？,设备6在2021-01-03 11:00:00发生了连接丢失故障。
60,在2021-01-03 12:00:00，设备3发生了什么故障？,设备3在2021-01-03 12:00:00发生了连接丢失故障。
61,在2021-01-03 13:00:00，设备5发生了什么故障？,设备5在2021-01-03 13:00:00发生了信号质量下降故障。
62,在2021-01-03 14:00:00，设备13发生了什么故障？,设备13在2021-01-03 14:00:00发生了连接丢失故障。
63,在2021-01-03 15:00:00，设备5发生了什么故障？,设备5在2021-01-03 15:00:00发生了信号质量下降故障。
64,在2021-01-03 16:00:00，设备2发生了什么故障？,设备2在2021-01-03 16:00:00发生了网络中断故障。
65,在2021-01-03 17:00:00，设备11发生了什么故障？,设备11在2021-01-03 17:00:00发生了连接丢失故障。
66,在2021-01-03 18:00:00，设备2发生了什么故障？,设备2在2021-01-03 18:00:00发生了信号质量下降故障。
67,在2021-01-03 19:00:00，设备7发生了什么故障？,设备7在2021-01-03 19:00:00发生了信号质量下降故障。
68,在2021-01-03 20:00:00，设备18发生了什么故障？,设备18在2021-01-03 20:00:00发生了硬件故障故障。
69,在2021-01-03 21:00:00，设备13发生了什么故障？,设备13在2021-01-03 21:00:00发生了连接丢失故障。
70,在2021-01-03 22:00:00，设备1发生了什么故障？,设备1在2021-01-03 22:00:00发生了信号质量下降故障。
71,在2021-01-03 23:00:00，设备14发生了什么故障？,设备14在2021-01-03 23:00:00发生了信号质量下降故障。
72,在2021-01-04 00:00:00，设备1发生了什么故障？,设备1在2021-01-04 00:00:00发生了连接丢失故障。
73,在2021-01-04 01:00:00，设备14发生了什么故障？,设备14在2021-01-04 01:00:00发生了信号质量下降故障。
74,在2021-01-04 02:00:00，设备17发生了什么故障？,设备17在2021-01-04 02:00:00发生了硬件故障故障。
75,在2021-01-04 03:00:00，设备16发生了什么故障？,设备16在2021-01-04 03:00:00发生了网络中断故障。
